Trinity_ID,binary_sig
TRINITY_DN10339_c0_g2_i1,0
TRINITY_DN10339_c0_g2_i2,0
TRINITY_DN10339_c0_g3_i1,NA
TRINITY_DN10339_c0_g3_i12,NA
TRINITY_DN10339_c0_g3_i3,NA
TRINITY_DN10339_c0_g3_i4,NA
TRINITY_DN10339_c0_g3_i5,NA
TRINITY_DN10339_c0_g3_i7,NA
TRINITY_DN10339_c0_g3_i9,NA
TRINITY_DN10339_c0_g4_i1,NA
TRINITY_DN1034_c0_g1_i1,0
TRINITY_DN1034_c0_g1_i10,0
TRINITY_DN1034_c0_g1_i12,1
TRINITY_DN1034_c0_g1_i18,0
TRINITY_DN1034_c0_g1_i2,0
TRINITY_DN1034_c0_g1_i5,0
TRINITY_DN10340_c0_g1_i2,0
TRINITY_DN10341_c0_g1_i1,0
TRINITY_DN10342_c0_g1_i1,0
TRINITY_DN10345_c0_g1_i1,0
TRINITY_DN10345_c0_g1_i2,NA
TRINITY_DN10345_c0_g1_i3,NA
TRINITY_DN10346_c0_g1_i1,0
TRINITY_DN10347_c0_g1_i1,0
TRINITY_DN10348_c0_g1_i1,0
TRINITY_DN1035_c0_g1_i1,1
TRINITY_DN1035_c0_g1_i2,0
TRINITY_DN10350_c0_g1_i1,0
TRINITY_DN10356_c0_g1_i1,NA
TRINITY_DN10356_c0_g1_i2,0
TRINITY_DN10356_c0_g1_i3,NA
TRINITY_DN10358_c0_g1_i1,0
TRINITY_DN10358_c0_g1_i2,0
TRINITY_DN10358_c0_g1_i3,0
TRINITY_DN10358_c0_g1_i4,NA
TRINITY_DN10359_c0_g1_i1,0
TRINITY_DN10359_c0_g1_i2,NA
TRINITY_DN1036_c0_g1_i1,0
TRINITY_DN10361_c0_g1_i1,0
TRINITY_DN10362_c0_g1_i1,NA
TRINITY_DN10363_c0_g1_i1,NA
TRINITY_DN10368_c0_g1_i1,NA
TRINITY_DN10369_c0_g1_i1,0
TRINITY_DN1037_c0_g1_i1,0
TRINITY_DN10370_c0_g1_i1,NA
TRINITY_DN10371_c0_g1_i1,NA
TRINITY_DN10371_c0_g1_i2,0
TRINITY_DN10373_c0_g1_i1,NA
TRINITY_DN10374_c0_g1_i1,NA
TRINITY_DN10375_c0_g1_i1,NA
TRINITY_DN10375_c0_g1_i2,0
